tittle;rooms;price;meters;bathrooms;garage;terrace;zipcode;year;hotels
Ático en Arenal - Museo, Sevilla;4 hab.;750;165 m²;2;0;1;41001;0;48
Ático en Arenal - Museo, Sevilla;1 hab.;298;80 m²;1;0;1;41001;0;48
Ático en Asunción - Adolfo Suárez, Sevilla;2 hab.;550;175 m²;2;0;0;41011;2013;2
Ático en avenida de Kansas City, Luis Montoto - Santa Justa, Sevilla;4 hab.;300;150 m²;2;0;1;41018;0;5
Ático en calle Alfalfa, Santa Cruz - Alfalfa, Sevilla;n;114;24 m²;1;0;1;41004;1980;53
Ático en calle Alfarería, Calle Betis - Pagés del Corro, Sevilla;2 hab.;327;112 m²;2;1;1;41010;1994;5
Ático en calle Álvarez Quintero, Sevilla, Santa Cruz - Alfalfa, Sevilla;3 hab.;1225;215 m²;3;0;1;41004;0;53
Ático en calle Amador de los Ríos, 26, Puerta Carmona-Puerta Osario-Amador de los Ríos, Sevilla;4 hab.;573;176 m²;2;1;1;41003;2005;44
Ático en calle Doctor Jerónimo Pou, Ronda de Triana-Patrocinio-Turruñuelo, Sevilla;4 hab.;193;98 m²;1;0;1;41010;1971;5
Ático en calle Don Fadrique, Parlamento - Torneo, Sevilla;3 hab.;300;102 m²;2;0;1;41009;1998;2
Ático en calle Federico Sánchez Bedoya, Arenal - Museo, Sevilla;4 hab.;990;200 m²;3;0;1;41001;1950;48
Ático en calle Federico Sánchez Bedoya, Sevilla, Arenal - Museo, Sevilla;4 hab.;990;200 m²;3;0;1;41001;0;48
Ático en calle Felipe II, 21, El Porvenir, Sevilla;2 hab.;299;84 m²;1;0;1;41013;1963;3
Ático en calle Javier Lasso de la Vega, Encarnación-Las Setas, Sevilla;4 hab.;1400;300 m²;4;0;1;41002;0;17
Ático en calle Juan Sebastián Elcano, 14, Asunción - Adolfo Suárez, Sevilla;3 hab.;550;156 m²;2;1;1;41011;1978;2
Ático en calle Muro de los Navarros, 27, Puerta Carmona-Puerta Osario-Amador de los Ríos, Sevilla;2 hab.;340;130 m²;2;0;1;41003;0;44
Ático en calle Pedro Pérez Fernández, Ramón de Carranza - Madre Rafols, Sevilla;3 hab.;315;90 m²;1;0;1;41011;1974;2
Ático en calle Torneo, San Vicente, Sevilla;4 hab.;600;142 m²;2;1;1;41002;0;17
Ático en camino de la Ermita de Valme, Bellavista, Sevilla;3 hab.;85;65 m²;1;1;0;41014;0;3
Ático en Felipe II - Bueno Monreal, Sevilla;6 hab.;580;344 m²;2;1;1;41013;0;3
Ático en glorieta de Letonia, Los Bermejales, Sevilla;2 hab.;390;103 m²;2;1;1;41012;2009;3
Ático en López de Gomara, Sevilla;1 hab.;215;62 m²;1;0;1;41010;0;5
Ático en marmoles, Santa Cruz - Alfalfa, Sevilla;1 hab.;195;42 m²;1;0;1;41004;0;53
Ático en Marqués de Paradas, Arenal - Museo, Sevilla;4 hab.;750;180 m²;2;0;1;41001;1980;48
Ático en Nervión, Sevilla;3 hab.;368;125 m²;2;1;1;41005;1986;2
Ático en Parlamento - Torneo, Sevilla;4 hab.;650;143 m²;2;1;0;41009;0;2
Ático en Ramon Carande, Prado de San Sebastián - Ramón Carande, Sevilla;4 hab.;1500;155 m²;2;1;1;41004;2010;53
Ático en Ramón de Carranza - Madre Rafols, Sevilla;3 hab.;315;90 m²;1;0;1;41011;0;2
Ático en Ronda de Triana-Patrocinio-Turruñuelo, Sevilla;2 hab.;295;68 m²;1;0;1;41010;0;5
Ático en San Vicente, Sevilla;1 hab.;380;127 m²;2;0;1;41002;1998;17
Ático en San Vicente, Sevilla;2 hab.;380;130 m²;2;0;1;41002;1998;17
Ático en Santa Cruz - Alfalfa, Sevilla;3 hab.;740;120 m²;2;1;1;41004;0;53
Ático en Villegas - Los Principes, Sevilla;4 hab.;349;151 m²;2;0;1;41008;0;1
Casa o chalet independiente en Alameda, Sevilla;6 hab.;849;375 m²;4;0;1;41002;1990;17
Casa o chalet independiente en Alfonso XII, 32, Plaza de la Gavidia-San Lorenzo, Sevilla;10 hab.;950;483 m²;4;0;1;41002;1950;17
Casa o chalet independiente en Arenal - Museo, Sevilla;6 hab.;1800;401 m²;5;1;1;41001;0;48
Casa o chalet independiente en Arenal - Museo, Sevilla;5 hab.;1300;300 m²;5;1;1;41001;2005;48
Casa o chalet independiente en Arenal - Museo, Sevilla;4 hab.;1200;245 m²;4;0;1;41001;0;48
Casa o chalet independiente en Arenal - Museo, Sevilla;6 hab.;715;225 m²;4;1;1;41001;2013;48
Casa o chalet independiente en Arenal - Museo, Sevilla;8 hab.;715;280 m²;3;1;1;41001;0;48
Casa o chalet independiente en Arfe, 14, Arenal - Museo, Sevilla;4 hab.;497;170 m²;4;0;1;41001;1928;48
Casa o chalet independiente en avenida de la Palmera, Reina Mercedes - Heliópolis, Sevilla;16 hab.;2250;907 m²;4;0;0;41012;1956;3
Casa o chalet independiente en avenida de la Salud, 6, Bellavista, Sevilla;3 hab.;275;140 m²;1;1;0;41014;0;3
Casa o chalet independiente en Avenida de las Ciencias, Sevilla;5 hab.;600;225 m²;3;1;0;41020;1994;6
Casa o chalet independiente en avenida Manuel Siurot, 34, La Palmera - Manuel Siurot, Sevilla;6 hab.;775;324 m²;3;1;0;41013;1936;3
Casa o chalet independiente en avenida Padre García Tejero, Reina Mercedes - Heliópolis, Sevilla;7 hab.;1910,4;662 m²;4;0;0;41012;0;3
Casa o chalet independiente en avenida Padre García Tejero, Reina Mercedes - Heliópolis, Sevilla;7 hab.;1910,4;662 m²;4;1;1;41012;1980;3
