,CURRENCY,AMOUNT,STATE,CREATED_DATE,MERCHANT_CATEGORY,MERCHANT_COUNTRY,ENTRY_METHOD,USER_ID,TYPE,SOURCE,ID
51074,GBP,1000,COMPLETED,2016-11-06 22:01:46.006000,,,misc,c30e89bc-0b56-494e-9845-cf41f6b2c066,TOPUP,APOLLO,a475874a-edc0-415e-8e1a-e750308ce01f
51112,GBP,4700,FAILED,2016-11-06 16:36:41.989000,,,misc,d2d6f48a-c3bc-4d98-be4a-e822fcf5fd2d,TOPUP,APOLLO,41850764-8e2b-415a-bb92-1e633da140ad
54487,GBP,3000,COMPLETED,2016-11-07 16:56:20.458000,,,misc,06bb2d68-bf61-4030-8447-9de64d3ce490,TOPUP,APOLLO,838ae7b8-df51-4182-92c7-e2dbcb031bae
54649,GBP,1000,COMPLETED,2016-11-05 00:32:02.030000,,,misc,f9a71c4f-d616-40bd-a096-1fbe971b17c8,TOPUP,APOLLO,b4d8cde7-b24c-44fe-a0a4-9bb64a42099c
59454,GBP,2000,COMPLETED,2016-12-04 15:23:11.380000,,,misc,f9a71c4f-d616-40bd-a096-1fbe971b17c8,TOPUP,APOLLO,c82fd34d-77b7-4780-86c5-4dcbea139fe5
61379,GBP,10000,COMPLETED,2016-12-13 19:39:29.118000,,,misc,f9a71c4f-d616-40bd-a096-1fbe971b17c8,TOPUP,APOLLO,cf092c0f-f4a1-4166-8c15-c5085deacc0e
61485,GBP,2000,COMPLETED,2016-12-12 00:25:13.264000,,,misc,6b80d5bf-a537-4b39-aeb3-06c80f0284f5,TOPUP,APOLLO,9505cfaa-29cf-4224-a446-92dc4983b9e2
61630,GBP,1200,COMPLETED,2016-12-12 17:55:50.916000,,,misc,797209a2-02f1-4d86-ad39-4607f85ed00c,TOPUP,APOLLO,addf8380-18fd-4f4c-80c7-c471cd0d0f0e
61995,GBP,20000,COMPLETED,2016-12-09 17:10:16.383000,,,misc,829a096c-4c7a-4ee9-b7cb-47456c5661e9,TOPUP,APOLLO,2b418316-2bce-4f4e-a255-19121cf7e771
62455,GBP,1000,COMPLETED,2016-12-11 22:12:10.638000,,,misc,5d9049be-120f-4ed8-bca3-c6ab065b463f,TOPUP,APOLLO,1eeef5b0-8c0a-4261-bae4-3cc19ac62e81
63909,GBP,1000,COMPLETED,2016-12-16 16:51:21.438000,,,misc,797209a2-02f1-4d86-ad39-4607f85ed00c,TOPUP,APOLLO,11823075-bc6b-4594-859c-42a2f603bb12
63941,GBP,8000,COMPLETED,2016-12-16 18:58:11.041000,,,misc,f9a71c4f-d616-40bd-a096-1fbe971b17c8,TOPUP,APOLLO,bdfc2387-4424-41d6-8c41-e2eb9f8ccfe7
64650,GBP,10000,COMPLETED,2016-12-17 15:51:08.766000,,,misc,829a096c-4c7a-4ee9-b7cb-47456c5661e9,TOPUP,APOLLO,4a05c413-06f0-4258-8286-8e51ae3f40a9
