,CURRENCY,AMOUNT,STATE,CREATED_DATE,MERCHANT_CATEGORY,MERCHANT_COUNTRY,ENTRY_METHOD,USER_ID,TYPE,SOURCE,ID
61,GBP,46287,COMPLETED,2015-10-15 08:48:53.335000,,,misc,c6dfac92-f61c-463d-8381-efa27ae8c8a9,BANK_TRANSFER,CRONUS,4f210f75-4d19-49b6-a814-5cafeb2d5c15
87,GBP,5078,COMPLETED,2015-10-18 22:09:57.613000,,,misc,d9577994-97ea-4c78-be3e-0a5d1b29b4ff,BANK_TRANSFER,CRONUS,2a377c38-9351-4790-970d-f3854bef1e5f
89,GBP,189000,COMPLETED,2015-10-15 00:03:14.605000,,,misc,e11705ed-6627-449f-8810-5c299df49e65,BANK_TRANSFER,CRONUS,ec82f84f-f49d-43ca-b1c8-e6c7380d7085
91,GBP,1000,COMPLETED,2015-10-15 19:40:31.012000,,,misc,20ded211-4981-456f-8977-fac35c9b9864,BANK_TRANSFER,CRONUS,decb659b-dfdf-47e2-ac07-11954e89b8a7
94,GBP,1000,COMPLETED,2015-10-15 19:09:51.051000,,,misc,46172727-471c-4627-b706-1f9881a8e4d2,BANK_TRANSFER,CRONUS,161c6692-2981-4f4d-a7c3-2ff0404e2482
139,GBP,227,COMPLETED,2015-10-12 17:27:30.229000,,,misc,bac3f7b6-7db6-4f49-af7e-ea2e211222ea,BANK_TRANSFER,CRONUS,70eedd5a-f883-4563-9ef6-8ec25961b50b
151,GBP,2625,COMPLETED,2015-10-16 13:20:10.843000,,,misc,20ded211-4981-456f-8977-fac35c9b9864,BANK_TRANSFER,CRONUS,1b62bf32-f1fd-48bd-b9b1-a648369679d7
182,USD,440500,COMPLETED,2015-10-14 21:35:23.091000,,,misc,2d518cf9-d853-443d-a3d8-bda56f373901,BANK_TRANSFER,CRONUS,7653cc52-1c6f-46d8-b924-c1bacd9b7544
223,GBP,174,COMPLETED,2015-10-13 20:30:25.728000,,,misc,715046f5-77d3-45b8-a3ac-7a05a99fa777,BANK_TRANSFER,CRONUS,96f0f00b-e857-4d8f-8b48-5d0703810902
357,GBP,23325,COMPLETED,2015-10-10 05:53:08.681000,,,misc,045a6bde-48a1-4b49-8076-e581278d7593,BANK_TRANSFER,CRONUS,cd0539f8-2bf9-4533-bb4b-d70aa3156944
406,GBP,4662,COMPLETED,2015-10-08 12:39:01.143000,,,misc,677412be-cf63-4c54-84ee-9cfae5a3c4dd,BANK_TRANSFER,CRONUS,2692c526-6242-4611-a57c-34ca1786cee1
407,GBP,1914,COMPLETED,2015-10-08 12:50:03.962000,,,misc,677412be-cf63-4c54-84ee-9cfae5a3c4dd,BANK_TRANSFER,CRONUS,9c0a9ed8-106f-4a1f-a17c-712278e3f9b6
414,GBP,714,COMPLETED,2015-10-08 11:07:24.643000,,,misc,5fd70cca-1685-40ad-a312-7d387f6911a9,BANK_TRANSFER,CRONUS,969c2952-a666-4db1-995d-e524e7790dcf
504,USD,1000,COMPLETED,2015-10-05 22:47:25.953000,,,misc,c4202045-c8bf-4adf-8722-107756481ca5,BANK_TRANSFER,CRONUS,57ebac29-1156-4a41-9c02-bd1f3e52c916
532,GBP,10165,COMPLETED,2015-10-04 10:03:21.675000,,,misc,3fc0147b-233e-488c-a76c-fee234bd370e,BANK_TRANSFER,CRONUS,b9f16b59-bde2-46b1-9142-1e55738d09ce
