,CURRENCY,AMOUNT,STATE,CREATED_DATE,MERCHANT_CATEGORY,MERCHANT_COUNTRY,ENTRY_METHOD,USER_ID,TYPE,SOURCE,ID
11,GBP,3800,COMPLETED,2015-10-20 20:35:12.582000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,P2P,INTERNAL,102ec72f-c300-49df-b176-9d6b1f9f15f5
44,USD,10000,COMPLETED,2015-10-17 08:51:54.851000,,,misc,2d518cf9-d853-443d-a3d8-bda56f373901,P2P,INTERNAL,8bf030c2-2b65-497d-80b2-f65a0be56737
238,EUR,400,COMPLETED,2015-10-09 05:47:31.239000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,P2P,INTERNAL,39638ef0-ca14-4df9-b7df-64d853edabbb
379,USD,5600,COMPLETED,2015-10-07 16:50:57.453000,,,misc,adae73e0-a036-4bc4-b202-c220554e49c8,P2P,INTERNAL,97f268a7-afdd-461f-9e37-e04dd3fc109c
444,GBP,3000,COMPLETED,2015-10-02 19:19:09.424000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,P2P,INTERNAL,ce8e7565-ed55-4fdb-96a7-e37b7bfd0546
480,EUR,75000,COMPLETED,2015-10-06 11:54:41.100000,,,misc,c20ce59d-ab03-4918-bcc0-c3e814ee0c08,P2P,INTERNAL,dafccf46-7f65-474b-9b7c-0e666ddd3161
488,USD,500,COMPLETED,2015-10-06 18:13:18.454000,,,misc,adae73e0-a036-4bc4-b202-c220554e49c8,P2P,INTERNAL,71aab1b8-5d31-43da-a991-788cf8e0cb39
536,GBP,650,COMPLETED,2015-10-04 18:12:59.470000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,P2P,INTERNAL,93c8418d-cc49-4fd9-acf2-de594a34f3d4
579,EUR,15000,COMPLETED,2015-10-01 14:01:44.582000,,,misc,fdee59c1-0e47-4e0d-9e91-4d915f7e9ef7,P2P,INTERNAL,84b08aec-55f8-4c30-b85c-8804b264f368
588,GBP,100,REVERTED,2015-10-03 11:30:05.423000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,P2P,INTERNAL,33001573-b645-49da-8432-6df0d49129df
679,EUR,340,COMPLETED,2015-09-29 09:41:08.281000,,,misc,2d9eed66-2287-454c-bb2e-f66c1b858766,P2P,INTERNAL,5264a9e9-c696-41da-bd48-3cb1bc68dd45
696,USD,100,COMPLETED,2015-09-28 14:59:27.389000,,,misc,2d518cf9-d853-443d-a3d8-bda56f373901,P2P,INTERNAL,01864a86-2b72-4e37-9e9e-31a5086ab139
718,USD,2900,COMPLETED,2015-09-28 15:00:28.354000,,,misc,2d518cf9-d853-443d-a3d8-bda56f373901,P2P,INTERNAL,c735283b-1d66-4adf-8a75-6d3943eacabd
794,GBP,1000,COMPLETED,2015-09-25 22:24:31.795000,,,misc,c2f3d45d-3d6e-4b6c-8004-4281fca31f97,P2P,INTERNAL,f1fa1d0a-02d2-4e78-949b-3a0a410597d2
857,EUR,500,COMPLETED,2015-09-24 20:45:22.911000,,,misc,2d9eed66-2287-454c-bb2e-f66c1b858766,P2P,INTERNAL,dcdabdd4-aa9e-4084-ab98-1c1e93517e8e
943,GBP,100,COMPLETED,2015-09-22 20:22:54.799000,,,misc,f54baeeb-7282-4d23-9bb7-e8396ce1b159,P2P,INTERNAL,6f02088a-a716-4d9e-99ee-80c79f6df89d
958,GBP,100,COMPLETED,2015-09-22 20:23:13.460000,,,misc,f54baeeb-7282-4d23-9bb7-e8396ce1b159,P2P,INTERNAL,c6620f91-cdd4-4e7f-b3a3-4761b7ee7c0b
1145,EUR,100,COMPLETED,2015-09-16 16:46:16.573000,,,misc,2d9eed66-2287-454c-bb2e-f66c1b858766,P2P,INTERNAL,8df183b1-fdbb-4a9b-8444-be548c102a28
1165,EUR,700,COMPLETED,2015-09-16 22:50:02.862000,,,misc,2d9eed66-2287-454c-bb2e-f66c1b858766,P2P,INTERNAL,330910e0-eae0-4147-980c-7c7d007e1673
1239,EUR,48000,COMPLETED,2015-09-14 12:26:41.963000,,,misc,dc5c8c34-ca06-48a0-aa7e-4597dfce0051,P2P,INTERNAL,7e027303-a23c-4ea5-972f-e6e6080ac6ea
1268,GBP,365,COMPLETED,2015-09-09 10:10:31.997000,,,misc,3b20a105-4af3-48f3-ba04-6def1dba22eb,P2P,INTERNAL,c2176a3c-42c9-466d-b647-06a24ea736fa
1308,GBP,100,COMPLETED,2015-09-10 10:08:51.017000,,,misc,3b20a105-4af3-48f3-ba04-6def1dba22eb,P2P,INTERNAL,8c4cc009-6316-453d-8901-173367222bb0
1309,GBP,1000,COMPLETED,2015-09-10 07:55:20.559000,,,misc,fdee59c1-0e47-4e0d-9e91-4d915f7e9ef7,P2P,INTERNAL,3fed1841-68b3-4897-ad74-54890c7751af
1384,GBP,500,COMPLETED,2015-09-07 20:41:41.482000,,,misc,c2f3d45d-3d6e-4b6c-8004-4281fca31f97,P2P,INTERNAL,48b725a4-c619-4e5f-b92a-1a5ea1bd1fc6
1546,GBP,30000,COMPLETED,2015-08-31 15:39:40.351000,,,misc,06bb2d68-bf61-4030-8447-9de64d3ce490,P2P,INTERNAL,58e29677-bd50-45e0-b678-160c8cec2253
1551,USD,500,COMPLETED,2015-09-02 22:39:13.091000,,,misc,06bb2d68-bf61-4030-8447-9de64d3ce490,P2P,INTERNAL,ad7a73ee-6d3d-46c0-b742-bcc329e933fe
1758,USD,4000,COMPLETED,2015-08-15 00:36:03.312000,,,misc,06bb2d68-bf61-4030-8447-9de64d3ce490,P2P,INTERNAL,b0915e98-96d2-42e9-b8f6-5f923b11ad85
1766,GBP,50000,COMPLETED,2015-08-20 14:25:09.756000,,,misc,06bb2d68-bf61-4030-8447-9de64d3ce490,P2P,INTERNAL,7ff5e0c8-7273-4a98-bb8e-b75367def594
1818,EUR,300,COMPLETED,2015-08-23 23:28:51.461000,,,misc,3bb54ae7-f9bd-4c69-9647-633f6b09dac0,P2P,INTERNAL,ecec1722-0ce0-4725-b6f1-6e900973735b
1951,EUR,100,COMPLETED,2015-08-19 14:22:54.108000,,,misc,f54baeeb-7282-4d23-9bb7-e8396ce1b159,P2P,INTERNAL,830137a0-02ef-4eb5-8fd1-ed1904fc0a0c
1966,USD,40400,COMPLETED,2015-08-14 05:19:53.224000,,,misc,06bb2d68-bf61-4030-8447-9de64d3ce490,P2P,INTERNAL,a3e783b8-3d3c-4927-9b27-0ef280777bce
1975,USD,9600,COMPLETED,2015-08-14 04:58:19.435000,,,misc,06bb2d68-bf61-4030-8447-9de64d3ce490,P2P,INTERNAL,4c8a24fb-f7ba-4e82-983e-ff77f9d76bde
2037,USD,21500,COMPLETED,2015-08-17 03:39:56.947000,,,misc,06bb2d68-bf61-4030-8447-9de64d3ce490,P2P,INTERNAL,23448e69-d9a7-40e2-8ee4-69dde6c1ff13
2045,GBP,100,COMPLETED,2015-08-17 13:40:35.579000,,,misc,f54baeeb-7282-4d23-9bb7-e8396ce1b159,P2P,INTERNAL,ba94ed71-6040-464a-80af-fbacf38e3335
2064,EUR,1340,COMPLETED,2015-12-19 19:51:21.269000,,,misc,9e988c5b-71d0-4f3e-8f81-b3c30aa9c240,P2P,INTERNAL,d1720c1d-e4f1-44ff-8a79-56d2d50c767a
2066,EUR,2867,COMPLETED,2015-12-19 13:36:14.529000,,,misc,2d9eed66-2287-454c-bb2e-f66c1b858766,P2P,INTERNAL,1e5f8684-5dc9-41fb-824e-680a36ad7421
2106,USD,7500,COMPLETED,2015-12-17 13:31:11.480000,,,misc,9e988c5b-71d0-4f3e-8f81-b3c30aa9c240,P2P,INTERNAL,2da29b9f-e99f-4573-adf4-5bbe8ae875e1
2193,USD,500,COMPLETED,2015-12-15 20:00:23.542000,,,misc,9e988c5b-71d0-4f3e-8f81-b3c30aa9c240,P2P,INTERNAL,35428b41-d3df-45af-9ae1-d974ae82c4d3
2196,EUR,100,COMPLETED,2015-12-15 17:02:31.150000,,,misc,2d9eed66-2287-454c-bb2e-f66c1b858766,P2P,INTERNAL,b2340809-82f3-4050-8a1f-95ba8f54dada
2476,GBP,3800,COMPLETED,2015-12-04 20:18:31.726000,,,misc,d1bc3cd6-154e-479f-8957-a69cdf414462,P2P,INTERNAL,faa4821c-6d9b-483f-9228-c252dfe2bc97
2690,EUR,160,COMPLETED,2015-12-01 15:13:15.578000,,,misc,2d9eed66-2287-454c-bb2e-f66c1b858766,P2P,INTERNAL,78d0809d-fc5c-46f1-9a76-e4ac4f97731b
2776,GBP,19000,COMPLETED,2015-12-03 08:58:10.437000,,,misc,fdee59c1-0e47-4e0d-9e91-4d915f7e9ef7,P2P,INTERNAL,145d8724-6e6c-49fa-85a5-04602f376515
3092,GBP,2000,COMPLETED,2015-11-24 20:44:30.213000,,,misc,312e08b2-d1fb-4b6d-a34d-315d574d7c67,P2P,INTERNAL,5698cb25-90a8-4732-89d7-bf2746a4d542
3232,GBP,200,COMPLETED,2015-11-18 09:38:14.243000,,,misc,25a2a6dc-4f28-4755-b6cc-c0364a2dd721,P2P,INTERNAL,e40f8f1a-91b5-4472-87d4-ae7d21cc9fa5
3429,EUR,340,COMPLETED,2015-11-16 09:15:24.845000,,,misc,2d9eed66-2287-454c-bb2e-f66c1b858766,P2P,INTERNAL,e5c61be9-dc3f-4d03-b437-37c775405351
3452,GBP,200,COMPLETED,2015-11-16 11:13:00.586000,,,misc,25a2a6dc-4f28-4755-b6cc-c0364a2dd721,P2P,INTERNAL,f720d106-728d-4f74-b394-92c23cd3a85f
3459,GBP,25000,COMPLETED,2015-11-14 14:01:12.777000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,P2P,INTERNAL,b02c9b81-c843-4f48-841e-0c1dcdfa975d
3477,USD,31061,COMPLETED,2015-11-11 17:52:04.294000,,,misc,312e08b2-d1fb-4b6d-a34d-315d574d7c67,P2P,INTERNAL,4791eb94-a8db-413b-a0d8-6489d3fb1131
3490,GBP,200,COMPLETED,2015-11-11 11:39:26.281000,,,misc,25a2a6dc-4f28-4755-b6cc-c0364a2dd721,P2P,INTERNAL,08cbbe98-2369-4a60-864e-32268bd37dfb
3508,GBP,5000,COMPLETED,2015-11-10 19:20:34.510000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,P2P,INTERNAL,4a39a36f-e672-4d35-bde2-748e78c4da3b
3554,GBP,200,COMPLETED,2015-11-09 13:50:34.424000,,,misc,25a2a6dc-4f28-4755-b6cc-c0364a2dd721,P2P,INTERNAL,fb047c99-42bd-4d59-9dad-e892e150ca25
3613,USD,100,COMPLETED,2015-11-04 09:16:58.607000,,,misc,63ea6b0e-dfd3-423e-9646-f5b76dfda48d,P2P,INTERNAL,2e8df7d5-4f01-448a-bc63-20b14e79d4ea
3647,GBP,200,COMPLETED,2015-11-05 16:15:03.210000,,,misc,25a2a6dc-4f28-4755-b6cc-c0364a2dd721,P2P,INTERNAL,573150f4-d733-4e83-9c47-ab28240121e3
3776,GBP,15000,COMPLETED,2015-11-01 14:54:08.662000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,P2P,INTERNAL,8d4d768c-f2d9-459c-9c4c-588c84278992
3794,EUR,1500,COMPLETED,2015-10-29 18:03:07.901000,,,misc,2d9eed66-2287-454c-bb2e-f66c1b858766,P2P,INTERNAL,a4850f70-c718-4873-a632-0e64258c5710
