,CURRENCY,AMOUNT,STATE,CREATED_DATE,MERCHANT_CATEGORY,MERCHANT_COUNTRY,ENTRY_METHOD,USER_ID,TYPE,SOURCE,ID
142594,EUR,5000,COMPLETED,2017-07-17 05:53:08.823000,,,misc,cedd2cb6-046e-43f5-861c-60f278a12818,TOPUP,LETO,4ded2faa-70f1-4dd5-a831-3a64af799c38
142595,EUR,31,COMPLETED,2017-07-17 05:53:07.184000,,,misc,cedd2cb6-046e-43f5-861c-60f278a12818,TOPUP,LETO,00736efc-f81d-44e3-9101-59effb626b2f
142596,EUR,900,COMPLETED,2017-07-17 05:53:06.925000,,,misc,cedd2cb6-046e-43f5-861c-60f278a12818,TOPUP,LETO,c258ba19-bb2e-41cb-aee7-c85fcab1e706
142842,EUR,200,COMPLETED,2017-07-17 13:00:51.444000,,,misc,e1a00ace-5032-4988-b46f-08db62050d53,TOPUP,LETO,fbe688d3-529d-4083-8dd6-924e6ac8dda2
143151,EUR,6000,COMPLETED,2017-07-18 05:54:12.021000,,,misc,cedd2cb6-046e-43f5-861c-60f278a12818,TOPUP,LETO,f7039c6b-1193-42b5-baeb-518a5e03148b
143153,EUR,14000,COMPLETED,2017-07-18 05:49:16.965000,,,misc,c1426977-0ea6-4e16-a327-018445125e8b,TOPUP,LETO,fe67ef73-212c-4ab9-b3f8-ff8ea6880b88
143691,EUR,10000,COMPLETED,2017-07-20 12:59:24.834000,,,misc,9ed1649f-06fd-452b-b6e9-25e3023dba09,TOPUP,LETO,80d3ed70-577f-447f-80f9-6e49b2528762
143849,EUR,11100,COMPLETED,2017-07-20 17:32:40.834000,,,misc,62580d01-6d12-4a21-b772-b6b36760a4e1,BANK_TRANSFER,LETO,d7c00ec1-6304-466d-8e11-86561dc6683a
144012,EUR,4000,COMPLETED,2017-07-19 05:47:27.807000,,,misc,cedd2cb6-046e-43f5-861c-60f278a12818,TOPUP,LETO,5dbc92a1-135c-4c94-b4e6-b5e986be49a1
144271,EUR,6000,COMPLETED,2017-07-19 12:57:16.468000,,,misc,cedd2cb6-046e-43f5-861c-60f278a12818,TOPUP,LETO,6acac3db-7994-4484-a49d-c2a5ada802f6
144725,EUR,5000,COMPLETED,2017-07-14 05:52:22.563000,,,misc,d5cc5f6b-9055-47eb-8bd5-79d23ad43b39,TOPUP,LETO,ef82b932-5701-43b4-9c7a-1da7ca75b380
145535,EUR,6000,COMPLETED,2017-07-18 07:59:04.567000,,,misc,9f236a4c-4b46-40d2-b0b7-bdd84ecf54d0,TOPUP,LETO,2ce99217-53d4-4444-9386-5b6174329093
145982,EUR,39000,COMPLETED,2017-07-23 17:17:54.401000,,,misc,f8890f7e-c06e-4eb0-835e-05de3d9f8a76,BANK_TRANSFER,LETO,325af8a5-725e-4e47-b939-1ff7effce588
146632,EUR,4400,COMPLETED,2017-07-22 19:36:15.270000,,,misc,62aaa0fb-65ae-44b6-884d-56f38a302b3e,BANK_TRANSFER,LETO,02f1ac2e-87d0-45ac-84f1-e7a4a74ccabc
