,CURRENCY,AMOUNT,STATE,CREATED_DATE,MERCHANT_CATEGORY,MERCHANT_COUNTRY,ENTRY_METHOD,USER_ID,TYPE,SOURCE,ID
96986,EUR,50000,COMPLETED,2017-04-07 09:47:03.139000,,,misc,ef051a6c-c0fc-4b29-aea1-2d5c8eec1ade,TOPUP,LIMOS,739008f6-21c8-4299-a01c-9875519fcd97
96987,EUR,20000,COMPLETED,2017-04-07 09:45:49.371000,,,misc,8064a5ac-8b83-42f9-a2e1-ec8d1146baae,TOPUP,LIMOS,ab9a47b8-ef63-48b2-97e9-d7bf89a46622
97824,EUR,12000,COMPLETED,2017-04-11 19:17:25.211000,,,misc,aac31b59-f9f3-4868-8cdb-c960a7e7c637,TOPUP,LIMOS,abd4cd3d-9373-4a84-b209-88f971dab7f9
97959,EUR,10000,COMPLETED,2017-04-11 09:31:38.457000,,,misc,598be45c-7910-4cb9-9e71-1f1189cb6ced,TOPUP,LIMOS,46aec04b-dc1c-4430-a71b-d41e61821183
97960,EUR,30000,COMPLETED,2017-04-11 09:31:43.385000,,,misc,a6d20739-ccd4-423a-a22e-dc7a720ef9f5,TOPUP,LIMOS,c223c39a-a741-4fa4-b6ce-a72e9b7a9196
97961,EUR,100000,COMPLETED,2017-04-11 09:32:24.554000,,,misc,acdb0b81-7cfd-473b-9996-0b7014b32a3f,TOPUP,LIMOS,be4fa99e-21da-45d1-9649-bda11fca730a
97966,EUR,10000,COMPLETED,2017-04-11 09:31:30.011000,,,misc,436d4f43-7360-4c44-9e20-c870aa53c4a2,TOPUP,LIMOS,7bf9cc37-83a2-4bac-9778-5561159c4bed
98004,EUR,15000,COMPLETED,2017-04-11 19:17:21.827000,,,misc,ba6dc34d-40f8-42aa-a318-3370251941ae,TOPUP,LIMOS,775849ba-3f51-4904-8549-b92f669edf55
98078,EUR,50000,COMPLETED,2017-04-10 09:16:46.170000,,,misc,acdb0b81-7cfd-473b-9996-0b7014b32a3f,TOPUP,LIMOS,928efb22-53e2-4050-931f-7e16f8fe2d9d
98855,EUR,100000,COMPLETED,2017-04-13 21:30:30.480000,,,misc,c8a15f57-c18c-4af7-8c5e-b80f50f370c4,TOPUP,LIMOS,30622acb-e425-4960-a93e-c29dbc1f816d
99627,EUR,250000,COMPLETED,2017-04-19 18:00:18.092000,,,misc,620b0918-8a14-4fef-8518-3617b4cdf0ea,TOPUP,LIMOS,df6e86c0-1469-411b-90af-904b6fcccb52
99628,EUR,20000,COMPLETED,2017-04-19 18:02:17.628000,,,misc,d58df8d6-a0cc-4809-be14-7f6db074d0e1,TOPUP,LIMOS,d6f38a1d-c5c1-4479-8839-bf61a2782b69
99629,EUR,20000,COMPLETED,2017-04-19 18:02:23.644000,,,misc,8dd8b009-bcc7-4b14-a26f-c87c232383f4,TOPUP,LIMOS,1f31847e-50b8-4d38-8c03-31dacad8e3a7
99630,EUR,800,COMPLETED,2017-04-19 18:04:10.619000,,,misc,e12996b6-634f-4d73-8a77-770c6bd3978c,TOPUP,LIMOS,8b808b23-5887-4b7f-ba53-8773dffb2aad
100139,EUR,50000,COMPLETED,2017-04-18 18:31:19.463000,,,misc,acdb0b81-7cfd-473b-9996-0b7014b32a3f,TOPUP,LIMOS,27194809-c88b-434d-9a83-520fc0d3d740
100140,EUR,15000,COMPLETED,2017-04-18 18:33:22.769000,,,misc,fc63cd21-8eac-4227-9f85-ad880ba1fcf0,TOPUP,LIMOS,75299406-b791-4ce7-87d2-3d76a727d5ab
100990,USD,60000,COMPLETED,2017-04-24 21:30:07.303000,,,misc,07d86133-6e3a-49d8-b230-bc72f3f1e9ca,TOPUP,LIMOS,faed1299-31c4-4bc8-81b8-708a8838f908
100991,EUR,800,COMPLETED,2017-04-24 21:31:46.379000,,,misc,31464cae-738a-4510-8ea7-869e0fd1d630,TOPUP,LIMOS,50be8c30-8f1c-402b-910b-d63a5a2a9b43
101373,USD,49500,COMPLETED,2017-04-20 06:25:40.114000,,,misc,13af8e5d-995f-4eeb-b4fe-0792266a3907,TOPUP,LIMOS,392e114b-b870-405c-8f12-771a41a6d995
101374,USD,49500,COMPLETED,2017-04-20 06:30:11.322000,,,misc,13af8e5d-995f-4eeb-b4fe-0792266a3907,TOPUP,LIMOS,81821ef5-f118-4531-807a-8c80ff54c34a
101418,USD,80000,COMPLETED,2017-04-20 15:00:07.754000,,,misc,07d86133-6e3a-49d8-b230-bc72f3f1e9ca,TOPUP,LIMOS,0277e96f-26b1-49da-a63a-cbbe586b04a1
