,CURRENCY,AMOUNT,STATE,CREATED_DATE,MERCHANT_CATEGORY,MERCHANT_COUNTRY,ENTRY_METHOD,USER_ID,TYPE,SOURCE,ID
75445,GBP,20000,COMPLETED,2017-02-03 03:40:40.055000,,,misc,64dc41e0-faf4-4bc5-8929-dc3c48aa554f,TOPUP,MINOS,f0fc38a1-3c69-492a-87ed-0b3231049ddc
75606,GBP,30000,COMPLETED,2017-02-03 11:41:04.786000,,,misc,471487fc-5d92-44c9-83a3-eab65eea580f,TOPUP,MINOS,20a85765-db44-4d34-af6d-854da20c1f53
77023,GBP,50000,COMPLETED,2017-02-10 09:06:33.839000,,,misc,6de1c8b3-8be9-4530-ab9c-4f095779dc23,TOPUP,MINOS,38cab814-43c9-4b82-938e-6fc0e4fb84c4
77160,GBP,100000,COMPLETED,2017-02-10 15:37:35.365000,,,misc,471487fc-5d92-44c9-83a3-eab65eea580f,TOPUP,MINOS,57fe1c25-6ff0-4b15-a548-2d6b27eafc87
77313,GBP,5000,COMPLETED,2017-02-10 23:43:17.574000,,,misc,55525a77-e67f-458a-8ba8-8c229f91ddb0,TOPUP,MINOS,dc3f896e-004b-48db-b713-79fd580ca37f
77648,GBP,3000,COMPLETED,2017-02-11 17:49:03.673000,,,misc,ee24aec1-493a-4c9f-a0c2-c5ccdb937b75,BANK_TRANSFER,MINOS,ebd371e8-e22d-4f6c-afec-d4a2e0e4f0ed
77649,GBP,70000,COMPLETED,2017-02-11 13:01:52.409000,,,misc,471487fc-5d92-44c9-83a3-eab65eea580f,BANK_TRANSFER,MINOS,f2212c32-e444-476d-a671-1b02dc6398ae
77806,GBP,50000,COMPLETED,2017-02-12 19:37:25.754000,,,misc,5c2ef375-c2a9-47e7-bbcf-b23c44da34b8,TOPUP,MINOS,cd7cae46-6ff5-4789-b316-2637e9fb2003
79031,GBP,2000,COMPLETED,2017-02-17 17:37:35.021000,,,misc,0fe472c9-cf3e-4e43-90f3-a0cfb6a4f1f0,TOPUP,MINOS,50096813-4a43-4102-a33d-3b2b2f4979cc
79117,GBP,100000,COMPLETED,2017-02-17 23:37:20.849000,,,misc,5efb6b2a-f60d-4b00-8bdc-6efa25f538e8,TOPUP,MINOS,fdcc018e-fa4b-49ff-9d54-7892a5e2cd7c
79224,GBP,500,COMPLETED,2017-02-17 18:49:40.335000,,,misc,9e3f3ad4-ccbe-4aa3-8a6b-5c8046643c5d,BANK_TRANSFER,MINOS,4fadbfb9-9f07-414c-a5b0-b292f6768647
79421,GBP,10000,COMPLETED,2017-02-18 21:37:22.966000,,,misc,00a2e510-355c-4f46-898c-4155e327ccf3,TOPUP,MINOS,2a6b6189-d0ba-4883-bd54-c62a9fed35c9
79444,GBP,9398,COMPLETED,2017-02-18 21:03:10.200000,,,misc,f5e3baa2-99af-44a0-b2f4-94a45e11eaeb,BANK_TRANSFER,MINOS,6b8672f9-c73d-41d1-b65b-5790dc99bdcb
79664,GBP,50000,COMPLETED,2017-02-19 17:37:47.067000,,,misc,471487fc-5d92-44c9-83a3-eab65eea580f,TOPUP,MINOS,c7a98257-daef-4eea-980a-d3af88e9e4df
79760,GBP,1276,COMPLETED,2017-02-19 17:18:55.794000,,,misc,f5e3baa2-99af-44a0-b2f4-94a45e11eaeb,BANK_TRANSFER,MINOS,f8dfe910-5386-4bb0-a86d-3fc627e6eaa1
79761,GBP,44000,COMPLETED,2017-02-19 06:59:23.434000,,,misc,0421b850-2fed-41f2-8cda-386642e90df6,BANK_TRANSFER,MINOS,6b47cc9e-75b8-4683-95d4-cf836c635db1
80271,GBP,86400,COMPLETED,2017-02-14 21:37:39.847000,,,misc,0d83fdc2-bf2d-4fbf-9894-d6e54d4ca1bc,TOPUP,MINOS,df259a7f-2058-4448-92dd-eb31e4ec3487
80346,GBP,300000,COMPLETED,2017-02-14 23:37:26.277000,,,misc,e25d0382-2eb1-495e-b783-4d1b351ca21d,TOPUP,MINOS,28652a63-1820-4dea-9ae7-ca52b601349e
80349,GBP,5078,COMPLETED,2017-02-14 01:07:08.805000,,,misc,f5e3baa2-99af-44a0-b2f4-94a45e11eaeb,BANK_TRANSFER,MINOS,fff5c855-bef6-40ad-a925-13483e1105b9
81471,GBP,10000,COMPLETED,2017-02-28 23:37:23.668000,,,misc,de096b60-e078-4e98-ab82-562bffd09208,TOPUP,MINOS,e5253b86-7648-4514-993a-bffa097ba1c6
81631,GBP,20000,COMPLETED,2017-02-22 07:37:20.238000,,,misc,00a2e510-355c-4f46-898c-4155e327ccf3,TOPUP,MINOS,f9a93af9-13ef-4303-aaac-949dfbd061f7
81632,GBP,90000,COMPLETED,2017-02-22 07:37:17.301000,,,misc,ef56d9be-834b-45bf-a408-5fe46fd67026,TOPUP,MINOS,4074f125-3d46-4c64-a89f-e3dfc6954cff
