,CURRENCY,AMOUNT,STATE,CREATED_DATE,MERCHANT_CATEGORY,MERCHANT_COUNTRY,ENTRY_METHOD,USER_ID,TYPE,SOURCE,ID
14,EUR,12000,FAILED,2015-10-20 22:44:18.065000,,,misc,25bd1319-9263-4ab7-bbe2-713a50f32c59,TOPUP,NYX,1ff1d320-51af-4d2a-a0b9-1a01d272ffef
15,GBP,1000,COMPLETED,2015-10-20 12:39:06.725000,,,misc,44101ca3-1372-4dfa-abbb-bc79830f1e9a,TOPUP,NYX,38a821a2-484f-4f2c-aa1b-4754ce07b4b3
16,EUR,1000,FAILED,2015-10-20 21:22:22.309000,,,misc,c7694312-35a7-4d41-ad51-76133c8bfe83,TOPUP,NYX,582bcac5-add3-4c69-b1e7-71afa44773be
17,GBP,1000,FAILED,2015-10-20 21:22:03.510000,,,misc,c7694312-35a7-4d41-ad51-76133c8bfe83,TOPUP,NYX,be7e0d29-71cb-4f66-bce4-cfa9cacda00f
18,EUR,1000,FAILED,2015-10-20 21:20:50.350000,,,misc,c7694312-35a7-4d41-ad51-76133c8bfe83,TOPUP,NYX,55d2b218-2eb8-4902-83a6-47c76567adbf
19,EUR,1000,FAILED,2015-10-20 21:21:22.758000,,,misc,c7694312-35a7-4d41-ad51-76133c8bfe83,TOPUP,NYX,1377e8dc-326f-47dd-b4c1-82998e91d370
20,EUR,100000,FAILED,2015-10-20 21:16:55.432000,,,misc,c7694312-35a7-4d41-ad51-76133c8bfe83,TOPUP,NYX,64809936-ca7e-44ea-a085-8ffd97d10f93
28,GBP,25000,COMPLETED,2015-10-19 00:15:21.973000,,,misc,7285c1ec-31d0-4022-b311-0ad9227ef7f4,TOPUP,NYX,059bfcba-0867-45bc-b822-10f72084c786
33,GBP,1000,COMPLETED,2015-10-19 13:28:42.454000,,,misc,c2f3d45d-3d6e-4b6c-8004-4281fca31f97,TOPUP,NYX,9f642881-4774-48f9-9a95-c65ba4fe0de5
42,GBP,10000,COMPLETED,2015-10-17 03:22:46.116000,,,misc,821014c5-af06-40ff-91f4-77fe7667809f,TOPUP,NYX,831a41e6-9f7c-4a51-b202-3941920c5771
