,CURRENCY,AMOUNT,STATE,CREATED_DATE,MERCHANT_CATEGORY,MERCHANT_COUNTRY,ENTRY_METHOD,USER_ID,TYPE,SOURCE,ID
12,GBP,30000,COMPLETED,2015-10-20 17:15:08.311000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,TOPUP,OPHION,9fd18e27-722e-4b3f-bf0d-894ad0eec224
98,EUR,3000,COMPLETED,2015-10-15 08:00:10.150000,,,misc,b9b478b6-9d0d-4e57-8da2-a42b45925a2d,TOPUP,OPHION,f443050a-49ef-4199-a36f-25afe44608ef
333,GBP,200000,COMPLETED,2015-10-10 17:15:08.362000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,TOPUP,OPHION,3031c23f-2559-488a-8537-11ddecefcabf
449,GBP,20000,COMPLETED,2015-10-02 17:15:07.745000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,TOPUP,OPHION,2b3080c1-47e3-4248-a6b1-8addf7a5c66a
483,GBP,20000,COMPLETED,2015-10-06 21:15:08.278000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,TOPUP,OPHION,ba112d66-0d3a-4ac3-9c24-f1ebe6f8acd7
561,GBP,20000,COMPLETED,2015-10-03 17:15:07.412000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,TOPUP,OPHION,bbde480d-78be-490f-8d31-4a2661c401fa
703,GBP,852,COMPLETED,2015-09-28 21:15:08.577000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,TOPUP,OPHION,ef01b20b-009b-43c6-9e1d-5b68717499e8
760,GBP,2000,COMPLETED,2015-09-26 17:15:08.479000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,TOPUP,OPHION,ca0aaa2b-95ab-4c3b-bd72-31338cd90506
1044,GBP,20000,COMPLETED,2015-09-19 21:15:07.983000,,,misc,fad08284-643f-4597-a253-d9a2dc5cfba3,TOPUP,OPHION,793ddb88-5641-47c1-9212-714090602b51
1229,GBP,50000,COMPLETED,2015-09-11 16:40:37.810000,,,misc,bac3f7b6-7db6-4f49-af7e-ea2e211222ea,TOPUP,OPHION,19f8b667-5fed-4be1-8158-268d53a8cee1
1327,GBP,100000,COMPLETED,2015-09-13 10:15:08.022000,,,misc,82a2ecd2-0b94-4629-85c0-141d7af04e5f,TOPUP,OPHION,195826d8-73f3-4e72-a6dc-c784819dec18
1460,GBP,20000,COMPLETED,2015-09-01 14:53:40.790000,,,misc,bac3f7b6-7db6-4f49-af7e-ea2e211222ea,TOPUP,OPHION,3522d147-31b9-45ff-9df3-9446a7473547
1742,GBP,47500,COMPLETED,2015-08-26 01:15:07.245000,,,misc,bac3f7b6-7db6-4f49-af7e-ea2e211222ea,TOPUP,OPHION,8691c743-c29a-45c6-b20b-87dffcdae0c2
1754,GBP,2000,COMPLETED,2015-08-25 21:15:07.412000,,,misc,bac3f7b6-7db6-4f49-af7e-ea2e211222ea,TOPUP,OPHION,c8483744-2a6e-4aff-9c6a-dd9b6cfa4518
1832,GBP,18000,COMPLETED,2015-08-22 01:15:07.692000,,,misc,5ff27f1c-65e2-426f-a139-56d7cf6f4a42,TOPUP,OPHION,cfa8c2ca-9050-4cb9-b16d-e86e0ade43b0
1873,GBP,100000,COMPLETED,2015-08-21 21:15:08.172000,,,misc,c50ceb96-2173-4629-8079-8326b5c5c962,TOPUP,OPHION,1f2c1a68-833b-45c0-b8bb-1d23faa8f798
1924,GBP,1000,COMPLETED,2015-08-19 01:15:07.564000,,,misc,5ff27f1c-65e2-426f-a139-56d7cf6f4a42,TOPUP,OPHION,da10fb33-c34e-4208-9c07-7a90dca3ae0f
2140,EUR,3100,COMPLETED,2015-12-16 09:30:10.711000,,,misc,7aedd7a8-f400-4a8f-82cd-e32aa05c3ae7,TOPUP,OPHION,0a8d4ce1-7307-4595-b795-797776c6cf34
2161,EUR,28000,COMPLETED,2015-12-17 09:15:15.509000,,,misc,eaea409b-3ee0-4bfb-b454-0139d180693b,TOPUP,OPHION,b942f8b2-88e0-4f94-b0ad-e2f2f625c733
2221,EUR,2000,COMPLETED,2015-12-15 09:30:12.253000,,,misc,9c04cb23-3177-4efe-8e00-122446e95419,TOPUP,OPHION,d806a741-9f5b-4548-b339-f5f126cef556
2300,GBP,50000,COMPLETED,2015-12-14 10:15:08.250000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,TOPUP,OPHION,7ea35c4d-3e7c-4794-a586-a1629f3c58ef
2400,EUR,27000,COMPLETED,2015-12-10 09:30:13.541000,,,misc,e104f224-d6fe-4927-8896-e0e0bc3c4e51,TOPUP,OPHION,82aec4e0-4126-4065-874f-dcec7dea6df1
2415,EUR,990,COMPLETED,2015-12-09 09:30:10.158000,,,misc,7aedd7a8-f400-4a8f-82cd-e32aa05c3ae7,TOPUP,OPHION,fbda365a-f6a7-4371-ab13-1fe9a1e4c3e5
2467,EUR,1400,COMPLETED,2015-12-04 14:45:09.962000,,,misc,7aedd7a8-f400-4a8f-82cd-e32aa05c3ae7,TOPUP,OPHION,7da27b4c-231e-4eaa-908b-467d386922a4
2487,EUR,4000,COMPLETED,2015-12-04 14:45:10.398000,,,misc,b5fef97e-cb5b-4b1b-b09c-3457ed922aea,TOPUP,OPHION,a0727fbd-f8ce-4061-98ed-586ad67d6122
2490,EUR,5000,COMPLETED,2015-12-04 16:45:14.519000,,,misc,e104f224-d6fe-4927-8896-e0e0bc3c4e51,TOPUP,OPHION,bf609410-1113-4744-9730-7488a52539df
2555,EUR,50000,COMPLETED,2015-12-08 10:00:15.894000,,,misc,86459777-d822-49ef-a9e0-95c2c82adeea,TOPUP,OPHION,541a42d8-5f52-4277-b6a0-355e8a51e891
2558,EUR,1360,COMPLETED,2015-12-08 21:03:43.858000,,,misc,7aedd7a8-f400-4a8f-82cd-e32aa05c3ae7,TOPUP,OPHION,784a4914-2271-4733-a3a4-67ae62aa7022
2691,EUR,2900,COMPLETED,2015-12-01 10:00:10.070000,,,misc,7aedd7a8-f400-4a8f-82cd-e32aa05c3ae7,TOPUP,OPHION,6cf41aa1-6e86-469a-ab54-e89abdedc2f1
2713,EUR,5000,COMPLETED,2015-12-01 10:00:10.247000,,,misc,7bb3ba6d-ec1f-4d3b-a7ad-c8cfe1595202,TOPUP,OPHION,9ba0e830-3e4c-4093-8f25-32694a944af1
2727,EUR,15000,COMPLETED,2015-12-03 10:30:10.728000,,,misc,7bb3ba6d-ec1f-4d3b-a7ad-c8cfe1595202,TOPUP,OPHION,1e55310b-9eb5-4aa8-b714-5a992ecfc471
2801,GBP,50000,COMPLETED,2015-11-30 18:15:07.880000,,,misc,20100a1d-12bc-41ed-a5e1-bc46216e9696,TOPUP,OPHION,469b32a9-ddad-4923-bb0a-41c13780e529
2852,EUR,50000,COMPLETED,2015-11-27 11:15:13.175000,,,misc,b9b478b6-9d0d-4e57-8da2-a42b45925a2d,TOPUP,OPHION,e1173bb1-384a-4409-a3a8-1d0be86adc84
2956,EUR,15000,COMPLETED,2015-11-26 09:45:11.301000,,,misc,86459777-d822-49ef-a9e0-95c2c82adeea,TOPUP,OPHION,67779a5f-738a-4939-a12f-a3cabe7f0680
